gender,Current University Year,anxiety,anxiety symptoms,anxiety Type,career path,Stress Level,GPA,university Fee ,family responsibilities,job,friendships ,feel accepted ,discriminated,nature of the discrimination,comparing achievements,stressed future career?,extracurricular activities,support to manage your mental health ,assistance from faculty ,assistance from uni,support mechanisms ,Your age
Female,Passed out,Yes,sweating,Social Anxiety,Not confident,4,Very satisfied,Yes,Yes,Yes,No,No,No,No,No,Slightly stressed,No,No,No,Satisfactory,Career guidance and counselling,
Female,4th year,Yes,"worry or nervousness, stomach aches or headaches","Test Anxiety, Social Anxiety",Not confident,1,Not satisfied at all,Yes,Yes,No,Yes,Yes,Yes,Yes not treat equally,Yes,Slightly stressed,Yes,Yes,Yes,Satisfactory,Peer support groups,
Female,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, muscle tension, feeling out of control","Anticipatory Anxiety, Social Anxiety",Somewhat confident,3,Somewhat satisfied,No,Yes,Yes,Yes,No,Yes,Gender discrimination as mostly are men and do not pair with women for academic project work.,Yes,Slightly stressed,Yes,No,No,Unsatisfactory,"Peer support groups, Mental health workshops, Career guidance and counselling",
Male,2nd year,No,feelings of restlessness or being on edge,Anticipatory Anxiety,Very confident,3,Not satisfied at all,Yes,No,No,Yes,Yes,Yes,.,Yes,Not stressed at all,Yes,Yes,Yes,Neutral,Peer support groups,16 to 20
Male,3rd year,Slightly,"feelings of restlessness or being on edge, worry or nervousness, sleep difficulties",Social Anxiety,Somewhat confident,3,Somewhat satisfied,No,No,Yes,Yes,Yes,No,My answer is no ,No,Very stressed,Yes,No,No,Neutral,"Academic counselling services, Peer support groups, Mental health workshops",21 to 25
Male,4th year,No,sleep difficulties,Test Anxiety,Very confident,3,Very satisfied,No,Yes,No,No,Yes,z,No,No,Slightly stressed,No,No,No,Neutral,Peer support groups,21 to 25
Male,4th year,Yes,worry or nervousness,Test Anxiety,Somewhat confident,3,Not satisfied at all,No,No,Yes,No,Yes,No,None ,No,Slightly stressed,Yes,No,No,Unsatisfactory,Mental health workshops,21 to 25
Male,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, feeling fatigued or weak, stomach aches or headaches","Anticipatory Anxiety, Test Anxiety, Social Anxiety",Somewhat confident,5,Not satisfied at all,Yes,Yes,Yes,No,Yes,No,No,Yes,Slightly stressed,No,No,No,Very unsatisfactory,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Female,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, feeling fatigued or weak, sweating",Social Anxiety,Very confident,5,Very satisfied,No,No,No,Yes,Yes,No,"I wore an abaya in a class where nobody did, so I had sone preconceived notions in my mind that I would be regarded as a conservative fellow. But they all proved wrong and my friend circle seemed not at all bothered with it. ",Yes,Slightly stressed,No,No,No,Neutral,Peer support groups,21 to 25
Male,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, sleep difficulties, trembling or shaking, stomach aches or headaches",Test Anxiety,Somewhat confident,5,Somewhat satisfied,No,Yes,No,Yes,Yes,No,No,Yes,Very stressed,No,No,No,Neutral,"Academic counselling services, Financial counselling, Career guidance and counselling",21 to 25
Female,2nd year,Yes,"feelings of restlessness or being on edge, worry or nervousness, muscle tension, feeling fatigued or weak, sleep difficulties","Test Anxiety, Social Anxiety",Very confident,4,Not satisfied at all,Yes,Yes,No,Yes,Yes,No,No,Yes,Slightly stressed,Yes,No,No,Satisfactory,"Academic counselling services, Career guidance and counselling",16 to 20
Female,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, feeling fatigued or weak, trembling or shaking","Test Anxiety, Social Anxiety",Very confident,3,Somewhat satisfied,No,No,No,No,Yes,No,I didn't feel discriminated.,Yes,Slightly stressed,No,No,Yes,Neutral,"Academic counselling services, Mental health workshops, Career guidance and counselling",21 to 25
Male,4th year,No,"feelings of restlessness or being on edge, worry or nervousness, feeling out of control, stomach aches or headaches","Anticipatory Anxiety, Test Anxiety",Somewhat confident,3,Very satisfied,No,Yes,No,No,Yes,No,None,Yes,Slightly stressed,No,No,No,Unsatisfactory,"Academic counselling services, Financial counselling, Career guidance and counselling",21 to 25
Male,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, stomach aches or headaches",Social Anxiety,Very confident,5,Somewhat satisfied,No,Yes,No,No,Yes,No,No,No,Very stressed,No,No,No,Unsatisfactory,"Mental health workshops, Career guidance and counselling",21 to 25
Male,4th year,Yes,worry or nervousness,Social Anxiety,Somewhat confident,2,Very satisfied,No,No,No,No,Yes,No,NA,Yes,Very stressed,No,No,Yes,Satisfactory,"Academic counselling services, Financial counselling, Career guidance and counselling",21 to 25
Male,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, feeling fatigued or weak, feeling out of control, trembling or shaking, stomach aches or headaches","Anticipatory Anxiety, Test Anxiety, Social Anxiety",Very confident,4,Somewhat satisfied,No,No,No,Yes,Yes,No,None,Yes,Very stressed,Yes,No,Yes,Very unsatisfactory,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Female,4th year,Slightly,"worry or nervousness, stomach aches or headaches","Test Anxiety, Social Anxiety",Very confident,4,Somewhat satisfied,No,Yes,No,Yes,Yes,No,Not Applicable,No,Slightly stressed,Yes,Yes,Yes,Very unsatisfactory,"Academic counselling services, Mental health workshops, Career guidance and counselling",21 to 25
Female,2nd year,Yes,"feelings of restlessness or being on edge, muscle tension, feeling fatigued or weak, sleep difficulties, feeling out of control, stomach aches or headaches",Social Anxiety,Very confident,4,Very satisfied,No,Yes,No,No,Yes,Yes,Hiu,Yes,Not stressed at all,Yes,No,No,Neutral,"Academic counselling services, Peer support groups, Mental health workshops",16 to 20
Male,2nd year,Slightly,"feelings of restlessness or being on edge, worry or nervousness","Test Anxiety, Social Anxiety",Somewhat confident,3,Not satisfied at all,No,Yes,No,Yes,Yes,No,not faced,Yes,Slightly stressed,Yes,No,Yes,Satisfactory,"Academic counselling services, Peer support groups, Career guidance and counselling",16 to 20
Female,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness",Separation Anxiety,Not confident,3,Very satisfied,No,No,No,No,Yes,No,Didn't ,No,Slightly stressed,No,No,Yes,Satisfactory,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Male,1st year,Yes,"feelings of restlessness or being on edge, worry or nervousness, sleep difficulties, sweating, trembling or shaking, stomach aches or headaches","Test Anxiety, Social Anxiety",Somewhat confident,4,Somewhat satisfied,No,No,No,Yes,Yes,No,.,Yes,Slightly stressed,Yes,No,No,Neutral,"Academic counselling services, Peer support groups",16 to 20
Male,4th year,Yes,"worry or nervousness, feeling out of control, stomach aches or headaches","Anticipatory Anxiety, Test Anxiety",Somewhat confident,4,Very satisfied,No,No,No,No,No,No,No,Yes,Not stressed at all,No,No,Yes,Satisfactory,"Academic counselling services, Mental health workshops, Career guidance and counselling",21 to 25
Male,3rd year,Yes,feelings of restlessness or being on edge,Social Anxiety,Very confident,4,Very satisfied,Yes,Yes,No,Yes,No,Yes,Background discrimination,No,Very stressed,Yes,No,No,Unsatisfactory,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Female,3rd year,Yes,"worry or nervousness, feeling fatigued or weak",Test Anxiety,Very confident,3,Very satisfied,Yes,Yes,No,No,Yes,No,Nothing,No,Very stressed,No,Yes,Yes,Very satisfactory,"Academic counselling services, Mental health workshops, Career guidance and counselling",21 to 25
Female,Passed out,Yes,"feelings of restlessness or being on edge, worry or nervousness, muscle tension, feeling out of control, sweating, trembling or shaking, stomach aches or headaches",Social Anxiety,Somewhat confident,3,Somewhat satisfied,No,Yes,No,Yes,Yes,No,.,No,Slightly stressed,No,No,No,Neutral,Career guidance and counselling,21 to 25
Female,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, feeling out of control, sweating, trembling or shaking","Separation Anxiety, Test Anxiety",Somewhat confident,4,Somewhat satisfied,Yes,Yes,No,Yes,Yes,Yes,Gender discrimination related to my field,Yes,Very stressed,Yes,No,Yes,Neutral,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Female,4th year,Yes,worry or nervousness,Separation Anxiety,Somewhat confident,4,Somewhat satisfied,Yes,Yes,No,Yes,Yes,No,No,Yes,Very stressed,No,No,No,Neutral,Peer support groups,21 to 25
Female,4th year,No,feelings of restlessness or being on edge,Test Anxiety,Somewhat confident,4,Very satisfied,Yes,Yes,Yes,Yes,Yes,No,.. ,Yes,Slightly stressed,Yes,Yes,Yes,Neutral,Peer support groups,21 to 25
Male,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, sleep difficulties, stomach aches or headaches",Social Anxiety,Not confident,5,Not satisfied at all,No,No,No,Yes,No,No,N/A,No,Slightly stressed,No,No,No,Neutral,"Academic counselling services, Mental health workshops, Career guidance and counselling",21 to 25
Female,4th year,Yes,feelings of restlessness or being on edge,Social Anxiety,Not confident,3,Very satisfied,No,Yes,No,Yes,No,Yes,.,Yes,Very stressed,No,No,No,Very unsatisfactory,Career guidance and counselling,16 to 20
Male,4th year,No,feelings of restlessness or being on edge,Social Anxiety,Very confident,5,Somewhat satisfied,No,Yes,No,No,Yes,No,.,No,Slightly stressed,No,No,No,Neutral,"Academic counselling services, Mental health workshops, Career guidance and counselling",21 to 25
Female,1st year,Yes,"feelings of restlessness or being on edge, worry or nervousness, sleep difficulties","Anticipatory Anxiety, Social Anxiety",Somewhat confident,3,Somewhat satisfied,No,No,Yes,Yes,Yes,No,None,Yes,Very stressed,No,No,No,Neutral,"Academic counselling services, Financial counselling, Career guidance and counselling",16 to 20
Male,4th year,No,worry or nervousness,Social Anxiety,Very confident,1,Somewhat satisfied,No,No,No,No,No,No,No,No,Slightly stressed,No,No,No,Neutral,"Academic counselling services, Financial counselling, Career guidance and counselling",21 to 25
Male,3rd year,Yes,"worry or nervousness, sleep difficulties, feeling out of control, sweating","Test Anxiety, Social Anxiety",Not confident,5,Not satisfied at all,No,No,No,Yes,No,Yes,I rather not,Yes,Very stressed,No,No,No,Unsatisfactory,Career guidance and counselling,21 to 25
Female,3rd year,Slightly,"feelings of restlessness or being on edge, worry or nervousness, feeling fatigued or weak, stomach aches or headaches",Social Anxiety,Very confident,3,Somewhat satisfied,No,No,Yes,Yes,Yes,No,"As a Female students i may encounter disparities in opportunities, such as receiving fewer chances for internships, research projects, or leadership roles compared to their male counterparts.",Yes,Slightly stressed,No,No,No,Neutral,"Academic counselling services, Financial counselling, Career guidance and counselling",21 to 25
Female,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, feeling fatigued or weak, sleep difficulties, feeling out of control, trembling or shaking",Social Anxiety,Not confident,4,Somewhat satisfied,No,Yes,No,Yes,No,No,Nothing of that sort,Yes,Very stressed,No,No,No,Neutral,"Academic counselling services, Financial counselling, Career guidance and counselling",21 to 25
Male,3rd year,Slightly,sweating,Anticipatory Anxiety,Very confident,2,Not satisfied at all,No,Yes,Yes,No,Yes,No,Nope.,No,Very stressed,No,No,No,Neutral,"Peer support groups, Mental health workshops, Financial counselling",21 to 25
Male,2nd year,Yes,"worry or nervousness, muscle tension, sleep difficulties, feeling out of control, sweating, trembling or shaking, stomach aches or headaches","Separation Anxiety, Test Anxiety, Social Anxiety",Somewhat confident,4,Somewhat satisfied,No,Yes,No,Yes,No,No,No,Yes,Very stressed,No,No,No,Neutral,"Peer support groups, Mental health workshops, Career guidance and counselling",16 to 20
Female,3rd year,Slightly,worry or nervousness,Test Anxiety,Very confident,1,Somewhat satisfied,No,No,No,No,Yes,No,Not any.,Yes,Slightly stressed,No,No,No,Neutral,"Peer support groups, Mental health workshops, Career guidance and counselling",21 to 25
Male,3rd year,No,muscle tension,Separation Anxiety,Very confident,5,Somewhat satisfied,No,Yes,Yes,No,Yes,No,Good,Yes,Slightly stressed,Yes,Yes,Yes,Very unsatisfactory,Academic counselling services,21 to 25
Female,1st year,Yes,"worry or nervousness, muscle tension, sleep difficulties","Test Anxiety, Social Anxiety",Very confident,3,Somewhat satisfied,No,No,Yes,Yes,Yes,No,Never ,Yes,Very stressed,Yes,No,Yes,Neutral,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Female,Passed out,No,feelings of restlessness or being on edge,Anticipatory Anxiety,Not confident,1,Somewhat satisfied,No,No,No,No,Yes,No,_,Yes,Slightly stressed,No,No,No,Neutral,"Academic counselling services, Career guidance and counselling",21 to 25
Male,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, muscle tension, sleep difficulties",Anticipatory Anxiety,Very confident,5,Not satisfied at all,Yes,Yes,No,No,Yes,No,No.,Yes,Slightly stressed,Yes,No,No,Neutral,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Female,4th year,Yes,"worry or nervousness, sweating, stomach aches or headaches",Social Anxiety,Very confident,3,Somewhat satisfied,No,No,No,No,Yes,No,No,Yes,Not stressed at all,No,No,No,Neutral,"Academic counselling services, Career guidance and counselling",21 to 25
Male,2nd year,Slightly,"worry or nervousness, sleep difficulties",Anticipatory Anxiety,Somewhat confident,3,Somewhat satisfied,Yes,Yes,No,No,Yes,No,-,Yes,Slightly stressed,No,Yes,Yes,Satisfactory,"Academic counselling services, Career guidance and counselling",21 to 25
Female,4th year,Slightly,"feelings of restlessness or being on edge, worry or nervousness, muscle tension, sleep difficulties, feeling out of control","Test Anxiety, Social Anxiety",Somewhat confident,3,Very satisfied,Yes,Yes,Yes,Yes,No,No,No,Yes,Very stressed,No,No,No,Neutral,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",16 to 20
Female,Passed out,Yes,"feelings of restlessness or being on edge, worry or nervousness, sleep difficulties, stomach aches or headaches","Anticipatory Anxiety, Social Anxiety",Not confident,5,Somewhat satisfied,No,No,No,No,Yes,No,No,No,Very stressed,Yes,No,No,Unsatisfactory,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Male,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, muscle tension, feeling fatigued or weak, sleep difficulties","Anticipatory Anxiety, Separation Anxiety",Somewhat confident,3,Very satisfied,No,Yes,No,Yes,Yes,No,No discrimination ,Yes,Slightly stressed,No,No,Yes,Satisfactory,"Academic counselling services, Financial counselling, Career guidance and counselling",21 to 25
Female,Passed out,Yes,stomach aches or headaches,Separation Anxiety,Very confident,4,Somewhat satisfied,Yes,Yes,Yes,Yes,Yes,No,"As a machine learning model, I don't have personal experiences or emotions, so I don't encounter discrimination myself. However, I can help you understand or address discrimination if you share your experiences or concerns. If you have a specific scenario or context in mind, please provide details so I can offer relevant information or guidance.",Yes,Slightly stressed,Yes,Yes,Yes,Very unsatisfactory,Academic counselling services,21 to 25
Female,4th year,Yes,"sweating, stomach aches or headaches","Anticipatory Anxiety, Test Anxiety",Not confident,4,Not satisfied at all,Yes,Yes,No,Yes,Yes,No,no,Yes,Very stressed,No,No,No,Unsatisfactory,"Academic counselling services, Career guidance and counselling",16 to 20
Female,Passed out,Yes,"worry or nervousness, sweating","Anticipatory Anxiety, Test Anxiety",Not confident,3,Not satisfied at all,Yes,Yes,Yes,No,No,No,no,No,Very stressed,No,No,No,Satisfactory,"Academic counselling services, Mental health workshops, Career guidance and counselling",26 to 30
Female,4th year,Yes,"worry or nervousness, feeling fatigued or weak",Test Anxiety,Somewhat confident,3,Not satisfied at all,No,Yes,No,No,Yes,No,No,Yes,Slightly stressed,No,No,No,Satisfactory,"Academic counselling services, Mental health workshops",21 to 25
Female,4th year,Yes,"feelings of restlessness or being on edge, feeling out of control, trembling or shaking","Separation Anxiety, Social Anxiety",Somewhat confident,3,Somewhat satisfied,No,Yes,No,Yes,Yes,No,......,Yes,Very stressed,No,No,No,Neutral,"Academic counselling services, Peer support groups, Mental health workshops",21 to 25
Female,4th year,Yes,"feelings of restlessness or being on edge, worry or nervousness, sleep difficulties",Test Anxiety,Very confident,3,Very satisfied,Yes,Yes,No,No,Yes,No,N/A,Yes,Very stressed,No,No,Yes,Satisfactory,Academic counselling services,21 to 25
Female,4th year,Yes,"worry or nervousness, stomach aches or headaches",Social Anxiety,Somewhat confident,3,Somewhat satisfied,Yes,No,No,Yes,Yes,Yes,Gender discrimination ,Yes,Very stressed,No,No,No,Very unsatisfactory,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Female,Passed out,Slightly,worry or nervousness,Social Anxiety,Very confident,3,Very satisfied,Yes,No,No,Yes,Yes,No,No,Yes,Slightly stressed,Yes,No,No,Very satisfactory,Mental health workshops,21 to 25
Male,4th year,Yes,worry or nervousness,Test Anxiety,Somewhat confident,4,Very satisfied,No,Yes,Yes,No,No,No,No,No,Very stressed,No,No,No,Satisfactory,"Mental health workshops, Career guidance and counselling",26 to 30
Male,2nd year,No,sleep difficulties,Test Anxiety,Somewhat confident,2,Somewhat satisfied,Yes,Yes,Yes,Yes,Yes,No,No,No,Slightly stressed,No,No,No,Unsatisfactory,Peer support groups,26 to 30
Male,Passed out,No,worry or nervousness,Test Anxiety,Somewhat confident,3,Somewhat satisfied,Yes,Yes,No,No,No,No,Good,Yes,Not stressed at all,No,No,Yes,Neutral,Academic counselling services,26 to 30
Male,Passed out,Yes,"feelings of restlessness or being on edge, worry or nervousness, muscle tension, feeling fatigued or weak, feeling out of control, trembling or shaking","Anticipatory Anxiety, Separation Anxiety, Test Anxiety, Social Anxiety",Very confident,5,Very satisfied,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Not stressed at all,Yes,Yes,Yes,Very unsatisfactory,Peer support groups,26 to 30
Male,Passed out,Yes,"worry or nervousness, muscle tension, feeling fatigued or weak, stomach aches or headaches",Separation Anxiety,Very confident,3,Very satisfied,Yes,No,Yes,No,No,Yes,Gender discrimination as male teachers favoured female students and wouldn't entertain the same for male students. ,No,Slightly stressed,No,No,Yes,Satisfactory,"Mental health workshops, Financial counselling, Career guidance and counselling",21 to 25
Male,Passed out,Yes,"sleep difficulties, trembling or shaking, stomach aches or headaches",Test Anxiety,Somewhat confident,3,Somewhat satisfied,Yes,Yes,Yes,No,Yes,No,NA,Yes,Very stressed,No,No,No,Neutral,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",36 to 40
Female,Passed out,No,sleep difficulties,Test Anxiety,Very confident,3,Somewhat satisfied,Yes,Yes,Yes,No,Yes,No,No,No,Not stressed at all,Yes,No,Yes,Satisfactory,Career guidance and counselling,36 to 40
Female,3rd year,Slightly,"worry or nervousness, stomach aches or headaches",Test Anxiety,Somewhat confident,4,Very satisfied,No,No,No,Yes,Yes,No,Answer is no ,Yes,Slightly stressed,Yes,No,No,Neutral,"Peer support groups, Mental health workshops, Career guidance and counselling",16 to 20
Male,4th year,No,sleep difficulties,Social Anxiety,Very confident,3,Somewhat satisfied,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Slightly stressed,No,No,Yes,Satisfactory,Financial counselling,26 to 30
Male,3rd year,Yes,"feelings of restlessness or being on edge, worry or nervousness, feeling fatigued or weak, sleep difficulties, feeling out of control, stomach aches or headaches","Separation Anxiety, Social Anxiety",Very confident,5,Not satisfied at all,Yes,Yes,No,Yes,No,No,-,Yes,Very stressed,No,Yes,Yes,Satisfactory,"Academic counselling services, Peer support groups, Mental health workshops, Career guidance and counselling",21 to 25
Female,Passed out,Yes,worry or nervousness,Social Anxiety,Somewhat confident,4,Somewhat satisfied,Yes,Yes,Yes,Yes,No,Yes,"Area of Residence, this matter Alots .",No,Slightly stressed,Yes,No,No,Neutral,Career guidance and counselling,26 to 30
Female,Passed out,Slightly,"worry or nervousness, stomach aches or headaches",Social Anxiety,Not confident,3,Somewhat satisfied,No,No,No,Yes,No,No,No,Yes,Very stressed,No,No,No,Neutral,"Peer support groups, Career guidance and counselling",21 to 25
Female,Passed out,Yes,worry or nervousness,Test Anxiety,Somewhat confident,2,Very satisfied,Yes,Yes,No,No,Yes,No,"Nothing else
",No,Very stressed,Yes,Yes,Yes,Satisfactory,Mental health workshops,26 to 30
Female,Passed out,Slightly,"worry or nervousness, sweating",Social Anxiety,Not confident,4,Somewhat satisfied,No,Yes,No,Yes,Yes,No,.,Yes,Slightly stressed,No,No,No,Neutral,"Academic counselling services, Peer support groups, Career guidance and counselling",21 to 25
Female,Passed out,Slightly,"worry or nervousness, muscle tension, feeling fatigued or weak","Anticipatory Anxiety, Social Anxiety",Not confident,3,Somewhat satisfied,No,No,No,Yes,Yes,No,No,Yes,Very stressed,No,Yes,Yes,Neutral,Academic counselling services,21 to 25
Female,1st year,Yes,"worry or nervousness, sleep difficulties, sweating, stomach aches or headaches","Anticipatory Anxiety, Test Anxiety",Very confident,3,Not satisfied at all,Yes,Yes,Yes,No,Yes,No,No,Yes,Very stressed,No,No,No,Satisfactory,"Peer support groups, Financial counselling, Career guidance and counselling",21 to 25
Female,Passed out,Yes,sweating,Anticipatory Anxiety,Not confident,4,Not satisfied at all,Yes,Yes,Yes,Yes,Yes,No,No,No,Slightly stressed,No,No,Yes,Satisfactory,Academic counselling services,21 to 25
Male,Passed out,No,stomach aches or headaches,Test Anxiety,Very confident,3,Somewhat satisfied,No,No,Yes,No,No,No,No,No,Not stressed at all,No,No,No,Satisfactory,Mental health workshops,26 to 30
Male,Passed out,Slightly,"worry or nervousness, feeling out of control",Social Anxiety,Not confident,3,Not satisfied at all,Yes,Yes,No,Yes,No,Yes,Linguistic and ethnic differences ,No,Slightly stressed,No,No,No,Unsatisfactory,"Academic counselling services, Peer support groups, Mental health workshops, Financial counselling, Career guidance and counselling",26 to 30
Female,Passed out,Yes,stomach aches or headaches,Test Anxiety,Very confident,3,Very satisfied,Yes,Yes,Yes,No,Yes,No,I don't face any discrimination ,No,Slightly stressed,No,No,No,Neutral,Career guidance and counselling,21 to 25
Male,Passed out,No,feelings of restlessness or being on edge,Test Anxiety,Somewhat confident,2,Somewhat satisfied,Yes,No,Yes,No,No,No,Not special,No,Slightly stressed,No,No,No,Very satisfactory,"Academic counselling services, Mental health workshops",36 to 40
Female,1st year,Yes,worry or nervousness,Social Anxiety,Somewhat confident,4,Somewhat satisfied,Yes,Yes,No,Yes,Yes,Yes,There is cast discrimination ,No,Not stressed at all,No,No,No,Neutral,"Academic counselling services, Peer support groups",16 to 20
Male,Passed out,No,"worry or nervousness, sleep difficulties, stomach aches or headaches","Anticipatory Anxiety, Social Anxiety",Somewhat confident,3,Somewhat satisfied,No,Yes,No,Yes,Yes,No,No,Yes,Very stressed,No,No,No,Unsatisfactory,Career guidance and counselling,26 to 30
Male,4th year,Yes,"feelings of restlessness or being on edge, sleep difficulties, feeling out of control","Anticipatory Anxiety, Social Anxiety",Somewhat confident,3,Not satisfied at all,Yes,Yes,Yes,Yes,No,No,no,Yes,Not stressed at all,Yes,Yes,Yes,Unsatisfactory,"Academic counselling services, Peer support groups, Career guidance and counselling",21 to 25
Male,3rd year,Yes,"feelings of restlessness or being on edge, worry or nervousness, trembling or shaking",Social Anxiety,Very confident,2,Not satisfied at all,No,Yes,Yes,Yes,No,No,n,No,Very stressed,No,No,No,Unsatisfactory,"Mental health workshops, Career guidance and counselling",16 to 20
Female,4th year,Yes,feelings of restlessness or being on edge,Test Anxiety,Somewhat confident,3,Somewhat satisfied,No,Yes,Yes,Yes,Yes,No,No,No,Slightly stressed,No,No,No,Satisfactory,Mental health workshops,21 to 25
Male,3rd year,Slightly,feelings of restlessness or being on edge,Anticipatory Anxiety,Not confident,3,Somewhat satisfied,Yes,Yes,Yes,No,Yes,Yes,In Past I was In Too much Anxiety But now Alhamdulillah Better then before ,No,Slightly stressed,No,No,No,Satisfactory,"Peer support groups, Financial counselling, Career guidance and counselling",21 to 25
Male,2nd year,No,sleep difficulties,Social Anxiety,Very confident,2,Somewhat satisfied,No,No,No,No,Yes,No,None.,No,Not stressed at all,Yes,No,No,Neutral,"Academic counselling services, Mental health workshops, Career guidance and counselling",16 to 20
Female,Passed out,Slightly,"worry or nervousness, sweating",Social Anxiety,Not confident,4,Somewhat satisfied,No,Yes,No,Yes,Yes,No,.,Yes,Slightly stressed,No,No,No,Neutral,"Academic counselling services, Peer support groups, Career guidance and counselling",21 to 25
